,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age,basement
11330,343500.0,4,1.75,1760,6204,1.0,7,1180,0.0,98178,47.5045,-122.24,1990,6240,0,65,1.0
2404,235000.0,4,1.0,1610,24000,1.5,6,1610,0.0,98001,47.2751,-122.252,1270,9600,0,68,0.0
8019,325000.0,2,1.0,810,6827,1.0,6,810,0.0,98106,47.5495,-122.357,990,6827,0,71,0.0
15493,537000.0,4,2.25,2640,8800,1.0,8,1620,0.0,98072,47.7552,-122.148,2500,11700,0,35,1.0
16195,375000.0,3,1.75,1660,9673,1.0,7,1130,0.0,98072,47.7628,-122.162,1260,9681,0,39,1.0
16119,465000.0,3,1.75,1730,8073,1.0,8,1350,0.0,98177,47.7694,-122.367,2500,8073,0,44,1.0
12702,425000.0,2,1.0,880,6413,1.0,7,880,0.0,98116,47.573,-122.395,1360,6413,0,65,0.0
14392,530000.0,3,2.25,2160,8114,1.0,8,1460,0.0,98133,47.7176,-122.35,2160,8000,0,55,1.0
12121,650000.0,4,2.5,2110,6820,1.0,7,1530,0.0,98115,47.6882,-122.306,1420,6431,0,73,1.0
15365,344500.0,3,1.75,1890,9535,1.0,7,1210,0.0,98055,47.4872,-122.223,2040,11108,0,39,1.0
19132,450000.0,3,2.5,1460,7573,2.0,8,1460,0.0,98007,47.6012,-122.141,1910,7668,0,32,0.0
10166,1400000.0,3,2.0,2020,5500,1.5,10,1790,0.0,98199,47.6388,-122.409,2580,5500,0,78,1.0
8641,510000.0,3,1.75,1920,43560,1.0,7,1340,0.0,98074,47.6052,-122.044,2540,58806,0,53,1.0
7120,1740000.0,5,3.5,4870,7700,2.5,10,3650,0.0,98144,47.5832,-122.29,3220,7700,0,86,1.0
18787,293000.0,4,2.5,3250,235063,1.0,9,3250,0.0,98092,47.2582,-122.113,1600,44287,0,42,0.0
14732,446000.0,2,1.0,2550,21675,1.0,7,1610,0.0,98198,47.4013,-122.319,2030,10591,0,57,1.0
5860,89000.0,3,1.0,900,4750,1.0,6,900,0.0,98023,47.3026,-122.363,900,3404,0,46,0.0
200,210000.0,3,1.0,860,11725,1.0,6,860,0.0,98056,47.5093,-122.184,1300,9514,0,72,0.0
61,289000.0,3,1.75,1260,8400,1.0,7,1260,0.0,98148,47.4366,-122.335,1290,8750,0,61,0.0
2775,325900.0,3,2.5,2040,9765,2.0,8,2040,0.0,98023,47.309,-122.349,2350,10150,0,30,0.0
16417,688000.0,3,3.0,3450,16200,2.0,10,3450,0.0,98074,47.6319,-122.041,3130,12150,0,32,0.0
18123,449500.0,3,2.25,1780,7280,1.0,7,1340,0.0,98034,47.723,-122.215,2060,7280,0,43,1.0
13657,369000.0,3,2.25,1820,99752,1.0,7,1820,0.0,98092,47.2838,-122.006,1850,117612,0,46,0.0
13098,381000.0,3,1.75,2700,18246,1.0,7,1510,0.0,98059,47.4817,-122.097,1620,16986,0,48,1.0
17828,550000.0,3,1.0,1010,6120,1.0,6,1010,0.0,98033,47.6648,-122.204,1260,5977,0,73,0.0
19496,246500.0,2,1.0,940,6000,1.0,7,940,0.0,98148,47.4631,-122.329,1890,8547,0,61,0.0
3139,215000.0,3,1.5,1410,8415,1.0,7,780,0.0,98023,47.2914,-122.368,1440,7361,0,33,1.0
16102,372000.0,4,1.75,1890,10550,1.0,7,1010,0.0,98056,47.5147,-122.193,1930,7291,0,46,1.0
2677,347500.0,3,1.0,1830,12036,1.0,7,1550,0.0,98042,47.3126,-122.043,1810,12036,0,38,1.0
1515,610000.0,4,2.25,2090,35040,1.0,8,1490,0.0,98075,47.5739,-122.032,2910,21132,0,35,1.0
4880,250000.0,4,2.0,1850,7560,1.0,7,1540,0.0,98032,47.3666,-122.277,1620,7658,0,37,1.0
12891,230000.0,2,1.0,870,7020,1.0,6,570,0.0,98106,47.5404,-122.352,1730,7020,0,73,1.0
1051,1050000.0,4,3.25,3440,35021,2.0,10,3440,0.0,98033,47.6476,-122.184,3440,35021,0,32,0.0
8642,249000.0,3,1.0,1050,8498,1.0,7,1050,0.0,98031,47.4043,-122.202,1050,8498,0,56,0.0
7188,457500.0,3,1.0,960,4600,1.5,6,960,0.0,98118,47.5553,-122.286,1380,5175,0,88,0.0
11240,215000.0,3,1.0,1190,7500,1.0,7,1190,0.0,98042,47.3248,-122.142,1200,9750,0,47,0.0
1916,640000.0,4,1.75,2020,16120,1.0,7,2020,0.0,98010,47.3413,-122.048,1940,16350,0,46,0.0
9370,430000.0,4,1.0,1620,37075,1.5,7,1620,0.0,98024,47.5654,-121.929,2190,87117,0,72,0.0
18718,229000.0,4,1.5,1820,22814,1.5,7,1820,0.0,98125,47.7321,-122.296,1770,9150,0,95,0.0
8267,82000.0,3,1.0,860,10426,1.0,6,860,0.0,98146,47.4987,-122.341,1140,11250,0,61,0.0
1161,482500.0,6,4.5,2940,7500,1.5,8,2940,0.0,98034,47.7208,-122.182,2010,7500,0,49,0.0
