,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age
13903,810000.0,5,3.25,2950,67475,1.0,3,8,2530,2004.0,98072,47.7233,-122.117,2620,39820,1,34
2163,238000.0,2,1.0,1088,8453,1.0,3,6,1088,2009.0,98001,47.2685,-122.231,1088,8016,1,63
2106,870000.0,4,3.0,3040,36246,1.5,3,9,2680,2014.0,98074,47.6093,-122.07,3520,13178,1,92
5664,1160000.0,3,2.5,2740,5925,2.0,3,10,2740,1992.0,98112,47.6313,-122.303,2740,5948,1,102
9153,580000.0,3,2.5,3200,18750,1.0,2,9,2660,1996.0,98027,47.5717,-122.12,3200,22475,1,48
9347,370000.0,2,1.0,820,6550,1.0,3,7,820,2012.0,98126,47.5478,-122.381,1640,6550,1,66
7040,390000.0,3,2.5,2770,8820,1.0,3,7,1900,2004.0,98038,47.3685,-122.048,1850,10920,1,35
9292,612500.0,4,2.0,2060,5000,1.0,3,7,1030,2013.0,98117,47.6992,-122.379,1280,5000,1,66
17719,498000.0,2,2.0,1140,8282,1.0,3,6,1140,2009.0,98033,47.6949,-122.21,1650,9000,1,91
3260,691500.0,4,2.5,2600,7200,2.0,3,7,2600,2002.0,98115,47.6944,-122.274,1790,6175,1,53
4236,815000.0,6,3.0,2860,17853,1.0,3,8,1430,2015.0,98006,47.54600000000001,-122.175,1920,13452,1,53
4422,1340000.0,3,2.75,2730,38869,1.5,3,9,1940,2001.0,98146,47.4857,-122.361,2630,28188,1,52
11448,475000.0,3,1.75,1260,10065,1.0,3,7,1260,2014.0,98006,47.5727,-122.138,1320,10278,1,61
8021,1330000.0,3,2.5,3590,8400,1.0,3,9,2950,2007.0,98005,47.595,-122.173,1620,7875,1,57
6311,733000.0,3,1.75,1740,3060,1.0,5,8,950,2014.0,98115,47.6816,-122.31,1800,3960,1,85
3225,350000.0,3,2.75,3070,5280,2.0,3,7,2360,1986.0,98166,47.4486,-122.353,2570,18983,1,65
3541,312500.0,3,1.75,1830,7969,1.0,3,7,930,2008.0,98055,47.4667,-122.214,1790,7425,1,65
16568,1350000.0,4,3.5,3600,5217,2.0,3,9,2720,2014.0,98112,47.6189,-122.286,2270,5217,1,68
5245,379000.0,5,2.5,2803,8550,1.0,3,8,2803,2011.0,98003,47.3032,-122.306,1810,8550,1,52
3495,967000.0,4,3.25,1860,4356,2.0,3,9,1860,2005.0,98103,47.6785,-122.351,1860,4356,1,98
1662,830000.0,3,2.5,3370,6550,2.0,4,8,2840,2001.0,98126,47.5442,-122.38,1500,6550,1,103
19001,629000.0,3,2.0,1510,4560,2.0,4,7,1510,1995.0,98116,47.5689,-122.408,1990,5000,1,106
17431,750000.0,5,3.0,2230,8560,1.0,3,8,1150,2014.0,98008,47.6154,-122.115,2040,8560,1,55
10388,433000.0,3,2.75,2000,7200,1.0,3,7,1000,2014.0,98166,47.4531,-122.352,1440,7200,1,61
2593,399500.0,3,1.75,2420,12676,2.0,3,7,2420,1986.0,98045,47.4943,-121.789,1210,6769,1,104
6127,699000.0,3,2.5,2580,8154,1.0,3,10,2090,1997.0,98177,47.7259,-122.361,1660,8155,1,59
12219,887500.0,3,3.0,4230,54977,2.0,3,9,3780,2000.0,98166,47.4176,-122.343,2880,27201,1,64
2110,1640000.0,5,3.5,4220,26784,1.0,3,10,2110,2006.0,98004,47.6003,-122.206,3450,33945,1,57
7125,713400.0,3,2.25,1810,9845,1.0,4,8,1810,1991.0,98040,47.5505,-122.221,1900,10083,1,56
2982,765000.0,3,2.75,2250,9600,2.5,4,9,1830,1991.0,98122,47.6033,-122.287,2060,4980,1,106
1859,405000.0,2,1.75,1710,4234,2.0,3,7,1330,1979.0,98136,47.5319,-122.386,1530,4556,1,95
11715,1280000.0,4,3.0,3260,4500,2.0,3,9,2300,2014.0,98109,47.6314,-122.353,2410,4995,1,85
13628,495000.0,3,2.0,1769,9300,1.0,4,7,1769,2009.0,98166,47.441,-122.342,1870,10226,1,60
14845,805000.0,5,2.5,4600,19831,1.0,3,9,2300,2015.0,98177,47.7608,-122.378,2890,19831,1,59
17478,325000.0,6,2.0,2780,13950,2.5,4,7,2780,1964.0,98030,47.3738,-122.226,2120,13950,1,60
10314,880000.0,4,2.5,2340,10800,1.0,3,8,2340,2007.0,98040,47.5715,-122.225,2650,13500,1,62
9736,1080000.0,3,2.75,3890,7216,2.0,3,8,3260,2010.0,98118,47.5445,-122.266,2490,9920,1,48
