,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age
0,221900.0,3,1.0,1180,5650,1.0,3,7,1180,0.0,98178,47.5112,-122.257,1340,5650,0,60
1,538000.0,3,2.25,2570,7242,2.0,3,7,2170,1991.0,98125,47.721,-122.319,1690,7639,1,64
3,604000.0,4,3.0,1960,5000,1.0,5,7,1050,0.0,98136,47.5208,-122.393,1360,5000,0,50
7,291850.0,3,1.5,1060,9711,1.0,3,7,1060,0.0,98198,47.4095,-122.315,1650,9711,0,52
8,229500.0,3,1.0,1780,7470,1.0,3,7,1050,0.0,98146,47.5123,-122.337,1780,8113,0,55
10,662500.0,3,2.5,3560,9796,1.0,3,8,1860,0.0,98007,47.6007,-122.145,2210,8925,0,50
11,468000.0,2,1.0,1160,6000,1.0,4,7,860,0.0,98115,47.69,-122.292,1330,6000,0,73
13,400000.0,3,1.75,1370,9680,1.0,4,7,1370,0.0,98074,47.6127,-122.045,1370,10208,0,38
14,530000.0,5,2.0,1810,4850,1.5,3,7,1810,0.0,98107,47.67,-122.394,1360,4850,0,115
15,650000.0,4,3.0,2950,5000,2.0,3,9,1980,0.0,98126,47.5714,-122.375,2140,4000,0,36
17,485000.0,4,1.0,1600,4300,1.5,4,7,1600,0.0,98103,47.6648,-122.343,1610,4300,0,99
18,189000.0,2,1.0,1200,9850,1.0,4,7,1200,0.0,98002,47.3089,-122.21,1060,5095,0,94
19,230000.0,3,1.0,1250,9774,1.0,4,7,1250,0.0,98003,47.3343,-122.306,1280,8850,0,46
20,385000.0,4,1.75,1620,4980,1.0,4,7,860,0.0,98133,47.7025,-122.341,1400,4980,0,68
24,329000.0,3,2.25,2450,6500,2.0,4,8,2450,0.0,98030,47.3739,-122.172,2200,6865,0,30
25,233000.0,3,2.0,1710,4697,1.5,5,6,1710,0.0,98002,47.3048,-122.218,1030,4705,0,74
27,667000.0,3,1.0,1400,1581,1.5,5,8,1400,0.0,98112,47.6221,-122.314,1860,3861,0,106
32,687500.0,4,1.75,2330,5000,1.5,4,7,1510,0.0,98117,47.6823,-122.368,1460,5000,0,86
33,535000.0,3,1.0,1090,3000,1.5,4,8,1090,0.0,98117,47.6889,-122.375,1570,5080,0,86
34,322500.0,4,2.75,2060,6659,1.0,3,7,1280,0.0,98058,47.4276,-122.157,2020,8720,0,34
35,696000.0,3,2.5,2300,3060,1.5,3,8,1510,2002.0,98115,47.6827,-122.31,1590,3264,1,85
36,550000.0,4,1.0,1660,34848,1.0,1,5,930,0.0,98052,47.6621,-122.132,2160,11467,0,82
37,640000.0,4,2.0,2360,6000,2.0,4,8,2360,0.0,98107,47.6702,-122.362,1730,4700,0,111
38,240000.0,4,1.0,1220,8075,1.0,2,7,890,0.0,98001,47.3341,-122.282,1290,7800,0,46
41,775000.0,4,2.25,4220,24186,1.0,3,8,2600,0.0,98166,47.445,-122.347,2410,30617,0,31
43,685000.0,3,1.0,1570,2280,2.0,3,7,1570,0.0,98119,47.6413,-122.364,1580,2640,0,93
44,309000.0,3,1.0,1280,9656,1.0,4,6,920,0.0,98058,47.4485,-122.175,1340,8808,0,56
46,210490.0,3,1.0,990,8528,1.0,3,6,990,0.0,98023,47.3066,-122.371,1228,8840,0,49
47,785000.0,4,2.5,2290,13416,2.0,4,9,2290,0.0,98007,47.6194,-122.151,2680,13685,0,34
48,450000.0,3,1.75,1250,5963,1.0,4,7,1250,0.0,98115,47.6796,-122.301,970,5100,0,62
49,1350000.0,3,2.5,2753,65005,1.0,5,9,2165,0.0,98070,47.4041,-122.451,2680,72513,0,62
50,228000.0,3,1.0,1190,9199,1.0,3,7,1190,0.0,98148,47.4258,-122.322,1190,9364,0,60
51,345000.0,5,2.5,3150,9134,1.0,4,8,1640,0.0,98056,47.4934,-122.189,1990,9133,0,49
53,585000.0,2,1.75,1980,8550,1.0,3,7,990,0.0,98117,47.6989,-122.369,1480,6738,0,34
54,920000.0,5,2.25,2730,6000,1.5,3,8,2130,0.0,98105,47.6571,-122.281,2730,6000,0,88
60,650000.0,3,2.25,2150,21235,1.0,4,8,1590,0.0,98166,47.4336,-122.339,2570,18900,0,56
61,289000.0,3,1.75,1260,8400,1.0,3,7,1260,0.0,98148,47.4366,-122.335,1290,8750,0,61
62,505000.0,3,1.75,2519,8690,2.0,5,8,2519,0.0,98166,47.4428,-122.344,2500,9500,0,42
64,425000.0,3,2.25,1660,6000,1.0,3,7,1110,0.0,98122,47.6113,-122.297,1440,4080,0,36
65,317625.0,3,2.75,2770,3809,1.5,5,7,1770,0.0,98144,47.5747,-122.304,1440,4000,0,90
69,1330000.0,5,2.25,3200,20158,1.0,3,8,1600,0.0,98004,47.6303,-122.215,3390,20158,0,50
70,1040000.0,5,3.25,4770,50094,1.0,4,11,3070,0.0,98005,47.6525,-122.16,3530,38917,0,42
71,325000.0,3,2.0,1260,5612,1.0,4,7,1260,0.0,98034,47.7362,-122.179,1640,4745,0,43
72,571000.0,4,2.0,2750,7807,1.5,5,7,2250,0.0,98125,47.7168,-122.287,1510,7807,0,99
74,349000.0,3,1.75,1790,50529,1.0,5,7,1090,0.0,98042,47.3511,-122.073,1940,50529,0,50
78,410000.0,3,1.0,1410,5060,1.0,4,7,910,0.0,98133,47.7073,-122.34,1130,5693,0,59
82,355000.0,2,1.0,2020,6720,1.0,3,7,1010,0.0,98118,47.5474,-122.291,1720,6720,0,67
83,356000.0,3,1.5,1680,8712,1.0,3,8,1680,0.0,98059,47.4811,-122.149,1850,8797,0,51
84,315000.0,3,1.0,960,6634,1.0,3,6,960,0.0,98125,47.7264,-122.31,1570,7203,0,63
85,940000.0,3,1.5,2140,3600,2.0,3,9,1900,0.0,98119,47.6337,-122.365,2020,4800,0,90
86,305000.0,5,2.25,2660,8400,1.5,5,7,2660,0.0,98092,47.2909,-122.189,1590,8165,0,54
92,153000.0,3,1.0,1200,10500,1.0,3,7,1200,0.0,98023,47.322,-122.351,1350,10500,0,53
93,430000.0,3,1.5,1580,5000,1.0,3,8,1290,0.0,98117,47.687,-122.386,1570,4500,0,76
