,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age
16931,480000.0,4,2.5,2870,35757,2.0,4,9,2870,0.0,98077,47.7568,-122.05,2700,41221,0,38
2597,320000.0,2,1.0,900,7620,1.0,3,7,900,0.0,98106,47.5268,-122.343,1520,7620,0,44
18728,489000.0,4,2.0,2120,11479,1.0,4,7,1060,0.0,98125,47.7084,-122.303,1540,11000,0,75
5445,259950.0,3,1.0,1460,5825,1.0,5,5,1260,0.0,98056,47.4958,-122.191,1150,5926,0,73
3168,587500.0,4,1.75,2500,20868,1.0,3,8,1600,0.0,98166,47.431,-122.338,2170,15026,0,59
14489,675000.0,5,3.0,3410,9600,1.0,4,8,1870,0.0,98052,47.6358,-122.103,2390,9679,0,47
1455,250000.0,1,1.0,660,2600,1.0,3,6,660,0.0,98144,47.5723,-122.304,1560,5445,0,96
5840,833000.0,4,2.5,2190,12690,1.0,3,8,1170,0.0,98033,47.6627,-122.189,2630,10843,0,42
13373,246000.0,3,1.0,990,9145,1.5,4,6,990,0.0,98146,47.5022,-122.36,1640,8320,0,76
14221,175000.0,3,1.5,1220,7300,1.0,3,7,1220,0.0,98001,47.3341,-122.279,1260,7347,0,42
1369,749950.0,3,1.75,1800,5700,1.0,4,8,1000,0.0,98119,47.6491,-122.367,1680,5350,0,74
5630,364000.0,4,1.0,1210,7740,1.5,3,7,1210,0.0,98126,47.5216,-122.374,1100,7740,0,93
18922,291000.0,3,1.75,1560,9788,1.0,3,7,1560,0.0,98178,47.4876,-122.226,1840,11180,0,51
15811,700000.0,4,1.75,1950,7139,1.0,3,7,1150,0.0,98178,47.5121,-122.248,1600,13122,0,58
19251,302000.0,2,1.0,890,5000,1.0,4,6,890,0.0,98118,47.5526,-122.287,1160,5000,0,68
14806,380000.0,2,1.0,1470,81021,1.0,4,6,1470,0.0,98027,47.4771,-122.03,2600,69696,0,66
19408,320000.0,4,2.25,2310,7490,2.0,3,8,2310,0.0,98055,47.4379,-122.192,2310,8480,0,35
18827,330000.0,2,2.0,1550,435600,1.5,2,7,1550,0.0,98065,47.5145,-121.853,1600,217800,0,43
10746,520000.0,3,1.0,940,3000,1.5,3,7,940,0.0,98122,47.6033,-122.3,1210,3500,0,112
18773,330000.0,5,1.75,2100,7347,1.0,3,7,1070,0.0,98028,47.7751,-122.268,2170,9418,0,34
17683,399500.0,4,1.75,1360,4840,1.5,4,7,1360,0.0,98126,47.556,-122.376,1320,4840,0,87
3488,790000.0,4,3.0,3120,157875,2.0,4,8,3120,0.0,98058,47.444,-122.187,1580,7050,0,38
9048,254000.0,3,1.0,1270,16800,1.0,4,7,1270,0.0,98188,47.4599,-122.276,1700,10200,0,58
14548,279000.0,3,1.0,1110,6060,1.0,3,6,1110,0.0,98166,47.4705,-122.352,1480,8100,0,66
11134,232500.0,3,1.0,1320,8450,1.0,3,6,880,0.0,98023,47.3278,-122.337,1320,8450,0,54
9150,200000.0,3,1.0,1150,4800,1.5,4,6,1150,0.0,98002,47.3101,-122.212,1310,9510,0,77
10312,495000.0,3,2.0,1460,9759,1.0,5,7,1460,0.0,98052,47.6644,-122.144,1620,8421,0,43
14119,810000.0,3,1.75,2060,3300,2.0,4,9,1500,0.0,98102,47.6498,-122.32,1830,3712,0,97
14693,562000.0,5,2.25,3040,8111,2.0,3,8,3040,0.0,98052,47.7157,-122.103,2020,8304,0,31
16331,670000.0,5,2.5,2860,68519,2.0,5,8,2860,0.0,98065,47.5265,-121.835,1670,35910,0,57
10947,137900.0,3,1.75,1160,5082,1.0,3,6,580,0.0,98178,47.503,-122.262,1730,6000,0,73
4281,215000.0,3,1.0,1610,7140,1.0,3,7,1080,0.0,98031,47.3943,-122.189,1800,7600,0,39
4256,489950.0,3,2.0,1580,4010,1.0,4,7,790,0.0,98117,47.6769,-122.371,1350,5350,0,106
1627,210000.0,1,1.0,930,7129,1.0,3,6,930,0.0,98133,47.7234,-122.333,1300,8075,0,67
16499,821000.0,3,2.75,2760,8476,1.0,4,8,1690,0.0,98040,47.5402,-122.215,2610,9835,0,48
